STOCK,TICKER
Acutaas Chemical,ACUTAAS.NS
L G Balakrishnan,LGBBROSLTD.NS
IFB Industries,IFBIND.NS
K P R Mill Ltd,KPRMILL.NS
R R Kabel,RRKABEL.NS
Global Health,MEDANTA.NS
Astral,ASTRAL.NS
Va Tech Wabag,WABAG.NS
Afcons Infrastr.,AFCONS.NS
Shaily Engineer.,SHAILY.NS
Indigo Paints,INDIGOPNTS.NS
Gujarat Gas,GUJGASLTD.NS
V-Guard Industri,VGUARD.NS
Aditya Infotech,CPPLUS.NS
Metro Brands,METROBRAND.NS
P N Gadgil Jewe.,PNGJL.NS
Jindal Saw,JINDALSAW.NS
PG Electroplast,PGEL.NS
Genus Power,GENUSPOWER.NS
Gallantt Ispat L,GALLANTT.NS
L T Foods,LTFOODS.NS
Happy Forgings,HAPPYFORGE.NS
Aditya Vision,AVL.NS
Lumax Auto Tech.,LUMAXTECH.NS
Crompton Gr. Con,CROMPTON.NS
AIA Engineering,AIAENG.NS
Redington,REDINGTON.NS
MOIL,MOIL.NS
Usha Martin,USHAMART.NS
Astra Microwave,ASTRAMICRO.NS
Thomas Cook (I),THOMASCOOK.NS
Rainbow Child.,RAINBOW.NS
Safari Inds.,SAFARI.NS
Alkyl Amines,ALKYLAMINE.NS
Neuland Labs.,NEULANDLAB.NS
Ashapura Minech.,ASHAPURMIN.NS
Honeywell Auto,HONAUT.NS
Welspun Enterp,WELENT.NS
Bikaji Foods,BIKAJI.NS
Mrs Bectors,BECTORFOOD.NS
Aurionpro Sol.,AURIONPRO.NS
BASF India,BASF.NS
KEC International,KEC.NS
Jupiter Life Lin,JLHL.NS
Praj Industries,PRAJIND.NS
Sona BLW Precis.,SONAMLTD.NS
Tega Inds.,TEGA.NS
Voltas,VOLTAS.NS
KPI Green Energy,KPIGREEN.NS
EPL Ltd,EPL.NS
ACC,ACC.NS
Aarti Pharma,AARTIPHARM.NS
Time Technoplast,TIMETECHNO.NS
Rategain Travel,RATEGAIN.NS
Mastek,MASTEK.NS
Endurance Tech.,ENDURANCE.NS
Saregama India,SAREGAMA.NS
Nava,NAVA.NS
Kajaria Ceramics,KAJARIACER.NS
Cupid,CUPID.NS
Varroc Engineer,VARROC.NS
Arvind Fashions.,ARVIND.NS
Linde India,LINDEINDIA.NS
Affle 3i,AFFLE.NS
Intellect Design,INTELLECT.NS
Amara Raja Ener.,ARE&M.NS
Balkrishna Inds,BALKRISIND.NS
Mah. Seamless,MAHSEAMLES.NS
EID Parry,EIDPARRY.NS
CIE Automotive,CIEINDIA.NS
Godrej Agrovet,GODREJAGRO.NS
Cyient,CYIENT.NS
Titagarh Rail,TITAGARH.NS
Techno Elec.Engg,TECHNOE.NS
Sharda Cropchem,SHARDACROP.NS
Privi Speci.,PRIVISCL.NS
Lumax Industries,LUMAXIND.NS
Five-Star Bus.Fi,FIVESTAR.NS
Blue Dart Expres,BLUEDART.NS
Deepak Nitrite,DEEPAKNTR.NS
Radico Khaitan,RADICO.NS
Thermax,THERMAX.NS
Galaxy Surfact.,GALAXYSURF.NS
Finolex Cables,FINCABLES.NS
Akums Drugs,AKUMS.NS
Carborundum Uni.,CARBORUNIV.NS
Powergrid Infra.,POWERGRID.NS
Kalpataru Proj.,KALPATARU.NS
PDS,PDSL.NS
FDC,FDC.NS
Responsive Ind,RESPONIND.NS
Technocraf.Inds.,TIIL.NS
Deepak Fertilis.,DEEPAKFERT.NS
Paras Defence,PARAS.NS
BEML Ltd,BEML.NS
Tejas Networks,TEJASNET.NS
CEAT,CEATLTD.NS
Firstsour.Solu.,FSL.NS
Sarda Energy,SARDAEN.NS
Happiest Minds,HAPPSTMNDS.NS
Latent View,LATENTVIEW.NS
Guj.St.Petronet,GSPL.NS
Bata India,BATAINDIA.NS
Granules India,GRANULES.NS
Krishna Institu.,KIMS.NS
360 ONE,360ONE.NS
Cohance Life,COHANCE.NS
ISGEC Heavy,ISGEC.NS
Ipca Labs.,ICRA.NS
Strides Pharma,STAR.NS
Metropolis Healt,METROPOLIS.NS
Apollo Micro Sys,APOLLO.NS
Amber Enterp.,AMBER.NS
Welspun Living,WELSPUNLIV.NS
Hindustan Foods,HNDFDS.NS
Belrise Industri,BELRISE.NS
Kaynes Tech,KAYNES.NS
G M D C,GMDCLTD.NS
Sai Life,SAILIFE.NS
J K Cements,JKCEMENT.NS
Yatharth Hospit.,YATHARTH.NS
G R Infraproject,GRINFRA.NS
PNC Infratech,PNCINFRA.NS
United Breweries,UBL.NS
Container Corpn.,CONCOR.NS
GE Shipping Co,GESHIP.NS
AXISCADES Tech.,AXISCADES.NS
Ethos,ETHOSLTD.NS
Thangamayil Jew.,THANGAMAYL.NS
Paradeep Phosph.,PARADEEP.NS
Texmaco Rail,TEXRAIL.NS
Escorts Kubota,ESCORTS.NS
Orkla India,ORKLAINDIA.NS
Indo Count Inds.,ICIL.NS
Syngene Intl.,SYNGENE.NS
Sansera Enginee.,SANSERA.NS
Brigade Enterpr.,BRIGADE.NS
Aegis Logistics,AEGISLOG.NS
CCL Products,CCL.NS
Hatsun Agro,HATSUN.NS
Alembic Pharma,APLLTD.NS
Arvind Ltd,ARVIND.NS
Kansai Nerolac,KANSAINER.NS
Atul,ATUL.NS
Archean Chemical,ACI.NS
JK Tyre & Indust,JKTYRE.NS
Avalon Tech,AVALON.NS
RattanIndia Ent,RTNINDIA.NS
Minda Corp,MINDACORP.NS
Whirlpool India,WHIRLPOOL.NS
Le Travenues,IXIGO.NS
Jayaswal Neco,JAYNECOIND.NS
Asahi India Glas,ASAHIINDIA.NS
India Glycols,INDIAGLYCO.NS
Azad Engineering,AZAD.NS
ERIS Lifescience,ERIS.NS
Shyam Metalics,SHYAMMETL.NS
Star Health Insu,STARHEALTH.NS
Leela Palaces Hotels,THELEELA.NS
Gland Pharma,GLAND.NS
KRBL,KRBL.NS
PCBL Chemical,PCBL.NS
Craftsman Auto,CRAFTSMAN.NS
Ventive Hospital,VENTIVE.NS
Syrma SGS Tech.,SYRMA.NS
Bajaj Electrical,BAJAJELEC.NS
Ircon Intl.,IRCON.NS
TTK Prestige,TTKPRESTIG.NS
Inox Wind,INOXWIND.NS
Guj. Ambuja Exp,AMBUJACEM.NS
Apollo Tyres,APOLLOTYRE.NS
DCM Shriram,DCMSHRIRAM.NS
CESC,CESC.NS
Relaxo Footwear,RELAXO.NS
Anant Raj,ANANTRAJ.NS
Jubilant Ingrev.,JUBLINGREA.NS
Chalet Hotels,CHALET.NS
Suprajit Engg.,SUPRAJIT.NS
Vardhman Textile,VTL.NS
Go Digit General,GODIGIT.NS
Aster DM Health.,ASTERDM.NS
Gokaldas Exports,GOKEX.NS
Mishra Dhatu Nig,MIDHANI.NS
Blackbuck,BLACKBUCK.NS
NLC India,NLCINDIA.NS
MTAR Technologie,MTARTECH.NS
JK Lakshmi Cem.,JKLAKSHMI.NS
Senco Gold,SENCO.NS
Century Plyboard,CENTURYPLY.NS
Medplus Health,MEDPLUS.NS
JP Power Ven.,JPPOWER.NS
Aether Industri.,AETHER.NS
Balrampur Chini,BALRAMCHIN.NS
Rallis India,RALLIS.NS
Graphite India,GRAPHITE.NS
Dr Agarwal's Hea,AGARWALEYE.NS
Gujarat Fluoroch,FLUOROCHEM.NS
S C I,SCI.NS
ITC Hotels,ITCHOTELS.NS
Sagility,SAGILITY.NS
G N F C,GNFC.NS
Jubilant Pharmo,JUBLPHARMA.NS
Trident,TRIDENT.NS
JM Financial,JMFINANCIL.NS
Keystone Realtor,RUSTOMJEE.NS
Zee Entertainmen,ZEEL.NS
Dynamatic Tech.,DYNAMATECH.NS
Finolex Inds.,FINCABLES.NS
Canara HSBC,CANHLIFE.NS
RattanIndia Pow.,RTNPOWER.NS
Exide Inds.,EXIDEIND.NS
Triven.Engg.Ind.,TRIVENI.NS
JK Paper,JKPAPER.NS
V-Mart Retail,VMART.NS
Sequent Scien.,SEQUENT.NS
Religare Enterp.,RELIGARE.NS
Star Cement,STARCEMENT.NS
IFCI,IFCI.NS
